, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
826,0.27,0.05,0.72,0.0,0.0,0.0,0.0,0.62,0.78,0.27,0.15,0.4,0.0,0.07,0.91,1.07,0.0
827,0.35,0.0,0.63,0.0,0.0,0.0,0.0,0.84,0.95,0.27,0.33,0.34,0.0,0.01,1.28,1.11,0.26
828,0.31,0.0,0.66,0.0,0.02,0.0,0.04,1.03,1.08,0.07,0.19,0.0,0.0,0.0,1.03,0.88,0.64
829,0.24,0.15,0.82,0.0,0.04,0.0,0.15,0.91,1.14,0.28,0.19,0.12,0.0,0.0,0.82,0.42,0.9
830,0.09,0.15,1.07,0.0,0.24,0.0,0.34,0.81,1.2,0.44,0.0,0.12,0.0,0.0,0.46,0.04,0.86
831,0.2,0.15,1.08,0.0,0.3,0.0,0.34,0.64,1.17,0.6,0.0,0.15,0.0,0.0,0.19,0.08,0.49
832,0.16,0.49,1.24,0.01,0.28,0.0,0.23,0.79,1.06,0.32,0.0,0.69,0.0,0.0,0.18,0.32,0.23
833,0.14,0.49,1.22,0.01,0.22,0.0,0.04,0.74,1.05,0.21,0.0,0.69,0.0,0.0,0.29,0.29,0.04
834,0.1,0.49,0.96,0.01,0.35,0.0,0.06,0.82,1.2,0.37,0.0,0.66,0.0,0.0,0.22,0.36,0.36
835,0.22,0.0,0.61,0.0,0.39,0.0,0.1,0.68,1.5,0.37,0.0,0.0,0.0,0.0,0.15,0.48,0.58
836,0.24,0.0,0.32,0.0,0.27,0.0,0.1,0.6,1.47,0.4,0.0,0.18,0.38,0.21,0.04,0.48,0.54
837,0.31,0.03,0.31,0.0,0.06,0.0,0.03,0.34,1.28,0.13,0.0,0.28,0.65,0.36,0.04,0.36,0.22
838,0.33,0.03,0.35,0.23,0.07,0.0,0.0,0.41,1.19,0.23,0.0,0.38,0.84,0.48,0.0,0.06,0.0
839,0.28,0.03,0.38,0.38,0.14,0.0,0.0,0.48,1.29,0.15,0.0,0.2,0.49,0.31,0.12,0.25,0.0
840,0.15,0.0,0.42,0.5,0.22,0.0,0.0,0.65,1.4,0.14,0.0,0.1,0.32,0.24,0.17,0.28,0.0
841,0.0,0.0,0.49,0.27,0.36,0.0,0.0,0.65,1.42,0.24,0.0,0.14,0.18,0.15,0.17,0.22,0.0
842,0.03,0.0,0.69,0.12,0.53,0.0,0.0,0.82,1.5,0.43,0.0,0.36,0.16,0.17,0.25,0.08,0.11
843,0.03,0.2,0.89,0.0,0.47,0.05,0.0,0.95,1.24,0.39,0.0,0.85,0.08,0.09,0.48,0.3,0.11
844,0.03,0.2,1.19,0.0,0.52,0.05,0.05,0.97,1.18,0.56,0.0,0.72,0.02,0.06,0.54,0.3,0.11
845,0.01,0.2,1.36,0.0,0.51,0.05,0.2,0.88,1.12,0.49,0.08,0.55,0.02,0.0,0.64,0.26,0.06
846,0.01,0.0,1.22,0.0,0.68,0.12,0.2,0.92,1.36,0.53,0.08,0.06,0.0,0.0,0.4,0.02,0.25
